,DFCAd,Participant,Frequence,TypeDistractor,Distance
282,-1.08628073156,BD,F2,Td,22.5
283,-0.776863700331,BD,F2,Td,22.5
284,-1.04532679841,BD,F2,Td,22.5
285,-1.12040931111,BD,F2,Td,22.5
286,-1.33428643644,BD,F2,Td,22.5
287,-1.29788138648,BD,F2,Td,22.5
288,-1.36614094658,BD,F2,Td,22.5
289,-0.581222678131,BD,F2,Td,22.5
290,-0.760938764586,BD,F2,Td,22.5
291,0.235188765879,BD,F2,Td,22.5
292,0.46021953213,BD,F2,Td,22.5
293,-0.035352965374,BD,F2,Td,33.75
294,0.144018484157,BD,F2,Td,33.75
295,-0.121650900234,BD,F2,Td,33.75
296,1.04227112147,BD,F2,Td,33.75
297,1.21900365405,BD,F2,Td,33.75
298,-1.10568584554,BD,F2,Td,33.75
299,1.00827607792,BD,F2,Td,33.75
300,-1.63104899457,BD,F2,Td,33.75
301,-2.28398527279,BD,F2,Td,33.75
302,-1.66062045513,BD,F2,Td,33.75
303,-0.82604252832,BD,F2,Td,33.75
304,1.73291690316,BD,F2,Td,33.75
305,-0.939709345814,BD,F2,Td,33.75
306,-2.39774987195,BD,F2,Td,33.75
307,-1.1312113348,BD,F2,Td,33.75
308,-0.324492800462,BD,F2,Td,33.75
309,-2.58471400914,BD,F2,Td,33.75
310,-1.36313413859,BD,F2,Td,33.75
311,-1.28809492957,BD,F2,Td,33.75
312,-1.58827940137,BD,F2,Td,33.75
313,1.88750205114,BD,F2,Td,33.75
314,0.00248284337373,BD,F2,Td,33.75
315,-0.206398868887,BD,F2,Td,33.75
316,-2.12967191972,BD,F2,Td,33.75
317,-2.03412118831,BD,F2,Td,33.75
318,-2.55968561012,BD,F2,Td,33.75
319,-2.72578410921,BD,F2,Td,33.75
320,-2.42999440633,BD,F2,Td,33.75
321,0.705751504032,BD,F2,Td,33.75
322,-2.2525279,BD,F2,Td,33.75
323,-2.10237133236,BD,F2,Td,33.75
324,-2.07052102273,BD,F2,Td,33.75
325,-1.18805052635,BD,F2,Td,33.75
326,-1.81261096269,BD,F2,Td,45.0
327,-0.170068277221,BD,F2,Td,45.0
328,-2.06028506236,BD,F2,Td,45.0
329,0.646723878695,BD,F2,Td,45.0
330,-2.89014106889,BD,F2,Td,45.0
331,-2.09437468084,BD,F2,Td,45.0
332,0.644463782105,BD,F2,Td,45.0
333,0.370886102274,BD,F2,Td,45.0
334,-0.727589602266,BD,F2,Td,45.0
335,-0.290126142816,BD,F2,Td,45.0
336,-3.93436104608,BD,F2,Td,45.0
337,0.0654169009,BD,F2,Td,45.0
338,-3.49751404749,BD,F2,Td,45.0
339,0.734856156077,BD,F2,Td,45.0
340,-0.392088056654,BD,F2,Td,45.0
341,-1.83987390976,BD,F2,Td,45.0
342,-3.61488058086,BD,F2,Td,45.0
343,-1.14664331647,BD,F2,Td,45.0
344,-1.49845250989,BD,F2,Td,45.0
345,-3.27136070161,BD,F2,Td,45.0
346,1.81729315018,BD,F2,Td,45.0
347,-0.765585323379,BD,F2,Td,45.0
348,-1.18748740261,BD,F2,Td,45.0
349,-3.35097970877,BD,F2,Td,45.0
350,-2.25719387651,BD,F2,Td,45.0
351,-3.95388928207,BD,F2,Td,45.0
352,-4.11771228521,BD,F2,Td,45.0
353,-3.32140655206,BD,F2,Td,45.0
354,2.0983028821,BD,F2,Td,56.25
355,-0.587135463707,BD,F2,Td,56.25
356,-0.00652829927907,BD,F2,Td,56.25
357,-1.93927319316,BD,F2,Td,56.25
358,1.71954481808,BD,F2,Td,56.25
359,0.849994140335,BD,F2,Td,56.25
360,-0.519309801505,BD,F2,Td,56.25
361,-0.501225136466,BD,F2,Td,56.25
362,-3.52230339704,BD,F2,Td,56.25
363,-5.12826728984,BD,F2,Td,56.25
364,-5.11233996422,BD,F2,Td,56.25
365,-0.376918262176,BD,F2,Td,56.25
366,-3.12224428537,BD,F2,Td,56.25
367,-4.66183447434,BD,F2,Td,56.25
368,-3.10967662331,BD,F2,Td,56.25
369,-2.39876049111,BD,F2,Td,56.25
370,-1.55269389434,BD,F2,Td,56.25
371,-0.393969734315,BD,F2,Td,56.25
372,0.943142206462,BD,F2,Td,56.25
373,-3.26876162946,BD,F2,Td,56.25
374,0.0576503821098,BD,F2,Td,56.25
375,-1.5640256887,BD,F2,Td,56.25
376,-0.0168236864335,BD,F2,Td,56.25
377,-4.48768449969,BD,F2,Td,56.25
378,-1.10871890424,BD,F2,Td,56.25
379,0.413974057273,BD,F2,Td,56.25
380,0.161792685361,BD,F2,Td,67.5
381,0.130342314186,BD,F2,Td,67.5
382,-0.15513364422,BD,F2,Td,67.5
383,-3.83927665771,BD,F2,Td,67.5
384,-4.92105853746,BD,F2,Td,67.5
385,-5.35773401244,BD,F2,Td,67.5
386,-4.81418687752,BD,F2,Td,67.5
387,-2.90887902625,BD,F2,Td,67.5
388,0.348167257329,BD,F2,Td,67.5
389,-3.11751185907,BD,F2,Td,67.5
390,1.92513852965,BD,F2,Td,67.5
391,1.53923560006,BD,F2,Td,67.5
392,-0.051696641241,BD,F2,Td,67.5
393,1.6039755973,BD,F2,Td,67.5
394,-3.50551874158,BD,F2,Td,67.5
395,0.121218236809,BD,F2,Td,67.5
396,-0.159710675258,BD,F2,Td,67.5
397,-0.675142314768,BD,F2,Td,67.5
398,0.53417167871,BD,F2,Td,67.5
399,-0.020331573911,BD,F2,Td,67.5
400,0.419782156611,BD,F2,Td,67.5
401,-1.34725521204,BD,F2,Td,67.5
402,-2.54141223712,BD,F2,Td,67.5
403,-2.70226799513,BD,F2,Td,67.5
404,-0.11698979722,BD,F2,Td,67.5
405,-0.922410496495,BD,F2,Td,78.75
406,-0.899934473185,BD,F2,Td,78.75
407,1.04056323929,BD,F2,Td,78.75
408,2.02944585773,BD,F2,Td,78.75
409,1.19201073122,BD,F2,Td,78.75
410,1.88533532294,BD,F2,Td,78.75
411,-0.64384811075,BD,F2,Td,78.75
412,0.384457458898,BD,F2,Td,78.75
413,-0.318508128585,BD,F2,Td,78.75
414,-3.73150869241,BD,F2,Td,78.75
415,1.80990785068,BD,F2,Td,78.75
416,1.64119108132,BD,F2,Td,78.75
417,-4.95925680806,BD,F2,Td,78.75
418,-5.45009997452,BD,F2,Td,78.75
419,0.924671574261,BD,F2,Td,78.75
420,-0.293845215642,BD,F2,Td,78.75
421,-0.603437377616,BD,F2,Td,78.75
422,-4.13969836351,BD,F2,Td,78.75
423,-0.569956301249,BD,F2,Td,78.75
424,-0.298544094989,BD,F2,Td,78.75
425,-1.15866321467,BD,F2,Td,78.75
426,-1.27566407423,BD,F2,Td,78.75
427,-0.763045431003,BD,F2,Td,78.75
428,0.091197493886,BD,F2,Td,78.75
429,0.694602440934,BD,F2,Td,78.75
430,0.558428195611,BD,F2,Td,78.75
431,-6.88057904916,BD,F2,Td,78.75
432,1.2940092202,BD,F2,Td,78.75
433,-5.22727477803,BD,F2,Td,78.75
434,0.386409112181,BD,F2,Td,78.75
435,-1.32067782682,BD,F2,Td,78.75
436,-3.81534928728,BD,F2,Td,78.75
437,-0.0722334717752,BD,F2,Td,78.75
438,-6.58432930656,BD,F2,Td,90.0
439,0.858468124943,BD,F2,Td,90.0
440,1.54734665847,BD,F2,Td,90.0
441,-0.983470885688,BD,F2,Td,90.0
442,0.104567559929,BD,F2,Td,90.0
443,1.8190280364,BD,F2,Td,90.0
444,0.207041896385,BD,F2,Td,90.0
445,0.760788756598,BD,F2,Td,90.0
446,-2.05199293002,BD,F2,Td,90.0
447,-3.3529135483,BD,F2,Td,90.0
448,-0.491261950093,BD,F2,Td,90.0
449,0.760320678705,BD,F2,Td,90.0
450,1.81162706319,BD,F2,Td,90.0
451,-4.30704238129,BD,F2,Td,90.0
452,-5.23200552549,BD,F2,Td,90.0
453,-1.98432799757,BD,F2,Td,90.0
454,-4.76703210474,BD,F2,Td,90.0
455,0.3380451464,BD,F2,Td,90.0
456,-7.53425221852,BD,F2,Td,90.0
457,0.729238593296,BD,F2,Td,90.0
458,0.742560138015,BD,F2,Td,90.0
